               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 154,            0.037614,            0.066048,                   0,             0.95907,             0.96414,             0.97775,             0.55572,             0.03651,             0.05154,                   0,           0.0024265,           0.0024265,           0.0024265
                 155,            0.038909,            0.057872,                   0,             0.95907,             0.96414,             0.97775,             0.55572,             0.03651,             0.05154,                   0,            0.002377,            0.002377,            0.002377
                 156,            0.036939,            0.061403,                   0,               0.956,             0.96414,             0.97959,             0.57685,            0.034543,            0.051048,                   0,           0.0023275,           0.0023275,           0.0023275
                 157,            0.035784,             0.05833,                   0,               0.956,             0.96414,             0.97959,             0.57685,            0.034543,            0.051048,                   0,            0.002278,            0.002278,            0.002278
                 158,            0.036761,            0.062694,                   0,             0.96316,             0.97012,             0.98129,             0.58125,            0.034246,            0.051014,                   0,           0.0022285,           0.0022285,           0.0022285
                 159,            0.036538,            0.059996,                   0,             0.96316,             0.97012,             0.98129,             0.58125,            0.034246,            0.051014,                   0,            0.002179,            0.002179,            0.002179
                 160,            0.036669,            0.056781,                   0,             0.96737,             0.97012,             0.98221,             0.58295,            0.034814,            0.050989,                   0,           0.0021295,           0.0021295,           0.0021295
                 161,            0.035691,            0.063707,                   0,             0.96737,             0.97012,             0.98221,             0.58295,            0.034814,            0.050989,                   0,             0.00208,             0.00208,             0.00208
                 162,            0.037232,            0.062242,                   0,             0.97062,             0.97012,             0.98291,             0.58109,            0.035587,            0.051083,                   0,           0.0020305,           0.0020305,           0.0020305
                 163,            0.039348,            0.061217,                   0,             0.97062,             0.97012,             0.98291,             0.58109,            0.035587,            0.051083,                   0,            0.001981,            0.001981,            0.001981
                 164,            0.038678,            0.058815,                   0,             0.96182,             0.97012,             0.98317,             0.57441,            0.035683,            0.051183,                   0,           0.0019315,           0.0019315,           0.0019315
                 165,            0.038893,             0.06591,                   0,             0.96182,             0.97012,             0.98317,             0.57441,            0.035683,            0.051183,                   0,            0.001882,            0.001882,            0.001882
                 166,            0.035971,            0.059507,                   0,             0.96549,             0.97012,             0.98346,              0.5816,            0.033872,            0.050511,                   0,           0.0018325,           0.0018325,           0.0018325
                 167,            0.036663,            0.067626,                   0,             0.96549,             0.97012,             0.98346,              0.5816,            0.033872,            0.050511,                   0,            0.001783,            0.001783,            0.001783
                 168,            0.037904,            0.073342,                   0,             0.96236,             0.96813,             0.98345,              0.5828,            0.034237,            0.050406,                   0,           0.0017335,           0.0017335,           0.0017335
